Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,c19_deaths,pneu_deaths,flu_deaths,pne_or_flu_deaths,pne_flu_c19_deaths,total_deaths
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alabama,All Ages,0,67,,72,72,"1,097"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alabama,0-17 years,0,0,0,0,0,16
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alabama,18-64 years,0,13,,14,14,297
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alabama,65 years and over,0,54,,58,58,784
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alaska,All Ages,0,,,,,91
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alaska,0-17 years,0,0,,,,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alaska,18-64 years,0,,0,,,40
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,49
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arizona,All Ages,0,83,,87,87,"1,278"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arizona,0-17 years,0,0,0,0,0,13
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arizona,18-64 years,0,12,,13,13,290
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arizona,65 years and over,0,71,,74,74,975
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arkansas,All Ages,0,57,,63,63,697
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arkansas,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arkansas,18-64 years,0,12,,15,15,189
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Arkansas,65 years and over,0,45,,48,48,502
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,California,All Ages,0,465,43,508,508,"5,865"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,California,0-17 years,0,,,,,60
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,California,18-64 years,0,81,18,99,99,"1,404"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,California,65 years and over,0,382,24,406,406,"4,401"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Colorado,All Ages,0,47,,52,52,839
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Colorado,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Colorado,18-64 years,0,12,,16,16,215
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Colorado,65 years and over,0,35,,36,36,618
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Connecticut,All Ages,0,34,,35,35,638
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Connecticut,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,,,157
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Connecticut,65 years and over,0,27,0,27,27,478
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Delaware,All Ages,0,11,0,11,11,207
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Delaware,18-64 years,0,,0,,,49
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Delaware,65 years and over,0,,0,,,157
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,District of Columbia,All Ages,0,,,,,95
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,District of Columbia,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,District of Columbia,18-64 years,0,,0,,,33
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,District of Columbia,65 years and over,0,,,,,61
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Florida,All Ages,0,246,31,277,277,"4,240"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Florida,0-17 years,0,0,,,,35
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Florida,18-64 years,0,43,16,59,59,999
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Florida,65 years and over,0,203,14,217,217,"3,206"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Georgia,All Ages,0,112,22,134,134,"1,813"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Georgia,0-17 years,0,0,,,,21
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Georgia,18-64 years,0,29,,35,35,534
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Georgia,65 years and over,0,83,14,97,97,"1,258"
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Hawaii,All Ages,0,26,,28,28,240
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Hawaii,0-17 years,0,0,0,0,0,
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Hawaii,18-64 years,0,,0,,,55
12/29/2019,01/04/2020,2020,1,01/04/2020,By Week,Week-ending,Hawaii,65 years and over,0,20,,22,22,182
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alabama,All Ages,0,83,,92,92,"1,152"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alabama,0-17 years,0,0,,,,16
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alabama,18-64 years,0,14,,19,19,311
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alabama,65 years and over,0,69,,72,72,825
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alaska,All Ages,0,,0,,,108
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alaska,0-17 years,0,0,0,0,0,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alaska,18-64 years,0,,0,,,36
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,68
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arizona,All Ages,0,86,,94,94,"1,352"
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arizona,0-17 years,0,,0,,,14
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arizona,18-64 years,0,23,,28,28,343
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arizona,65 years and over,0,62,,65,65,995
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arkansas,All Ages,0,54,,58,58,694
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arkansas,0-17 years,0,0,0,0,0,
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arkansas,18-64 years,0,,,11,11,189
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,Arkansas,65 years and over,0,45,,47,47,499
01/05/2020,01/11/2020,2020,2,01/11/2020,By Week,Week-ending,California,All Ages,0,427,52,479,479,"5,844"
